,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
0,0,100001,Gardnar,Mulloy,R,19131122.0,USA,185.0,Q54544,1968-03-04,1970-03-25
1,1,100002,Pancho,Segura,R,19210620.0,ECU,168.0,Q54581,1968-09-14,1971-12-13
2,2,100003,Frank,Sedgman,R,19271002.0,AUS,180.0,Q962049,1968-06-17,1978-01-08
3,3,100004,Giuseppe,Merlo,R,19271011.0,ITA,,Q1258752,1968-05-06,1973-06-02
4,4,100005,Richard,Gonzalez,R,19280509.0,USA,188.0,Q53554,1968-04-22,1973-08-20
5,5,100006,Grant,Golden,R,19290821.0,USA,175.0,Q3115390,1978-07-10,1978-07-10
6,6,100007,Abe,Segal,L,19301023.0,RSA,,Q1258527,1968-05-27,1972-04-08
7,7,100008,Kurt,Nielsen,R,19301119.0,DEN,,Q552261,,
8,8,100009,Istvan,Gulyas,R,19311014.0,HUN,,Q51066,1968-07-21,1973-04-09
9,9,100010,Luis,Ayala,R,19320918.0,CHI,170.0,Q1275397,1968-04-22,1971-03-28
10,10,100011,Torben,Ulrich,L,19281004.0,DEN,180.0,Q785404,1968-07-21,1974-03-03
11,11,100012,Nicola,Pietrangeli,R,19330911.0,ITA,178.0,Q709909,1968-04-15,1972-06-26
12,12,100013,Neale,Fraser,L,19331003.0,AUS,185.0,Q715173,1968-01-19,1974-06-24
13,13,100014,Trevor,Fancutt,R,19340714.0,RSA,,Q3538577,1968-12-30,1971-12-06
14,14,100015,Sammy,Giammalva,R,19340801.0,USA,180.0,Q963700,1968-08-29,1971-09-01
15,15,100016,Ken,Rosewall,R,19341102.0,AUS,175.0,Q312728,1968-04-22,1980-10-13
16,16,100017,Mal,Anderson,R,19350303.0,AUS,,Q963687,1968-07-21,1981-10-05
17,17,100018,Barry,Mackay,R,19350831.0,USA,190.0,Q1258939,1968-08-12,1970-05-07
18,18,100019,Wieslaw,Gasiorek,R,19360113.0,POL,,Q1258736,1968-04-15,1972-05-04
19,19,100020,Alejandro,Olmedo,R,19360324.0,PER,178.0,Q734544,1968-09-14,1978-10-22
20,20,100021,Ashley,Cooper,R,19360915.0,AUS,178.0,Q712208,1968-05-27,1968-05-27
21,21,100022,Roy,Emerson,R,19361103.0,AUS,183.0,Q312545,1968-11-11,1977-03-21
22,22,100023,Ramanathan,Krishnan,R,19370411.0,IND,,Q1559952,1968-06-07,1975-09-26
23,23,100024,Jan Erik,Lundquist,R,19370414.0,SWE,191.0,Q1341605,1968-04-01,1975-02-09
24,24,100025,Barry,Phillips Moore,R,19370709.0,AUS,173.0,Q1563886,1968-05-06,1977-12-19
25,25,100026,Andres,Gimeno,R,19370803.0,ESP,185.0,Q315958,1968-11-11,1974-07-09
26,26,100027,Gene,Scott,R,19371228.0,USA,185.0,Q1282493,1968-08-29,1974-08-25
27,27,100028,Manuel,Santana,R,19380510.0,ESP,170.0,Q445602,1968-02-08,1978-07-10
28,28,100029,Rod,Laver,L,19380809.0,AUS,173.0,Q105550,1968-11-11,1978-01-30
29,29,100030,Fred,Stolle,R,19381008.0,AUS,190.0,Q54671,1968-11-11,1977-08-31
30,30,100031,Dimitri,Sturdza,R,19381110.0,SUI,,Q20431255,1968-05-27,1975-02-09
31,31,100032,Patricio,Rodriguez Chi,R,19381220.0,CHI,188.0,Q7145979,1968-11-11,1974-07-21
32,32,100033,Wilhelm,Bungert,R,19390401.0,GER,188.0,Q77579,1968-08-13,1973-07-09
33,33,100034,Christian,Kuhnke,L,19390413.0,GER,,Q461558,1969-08-03,1974-07-09
34,34,100035,Ion,Tiriac,R,19390509.0,ROU,185.0,Q924245,1968-05-06,1979-01-01
35,35,100036,Rudy,Hernando,R,19390610.0,USA,,,1968-08-12,1973-07-23
36,36,100037,Nikola,Pilic,L,19390827.0,CRO,191.0,Q452365,1968-07-21,1978-05-29
37,37,100038,Jaime,Pinto Bravo,R,19391009.0,CHI,178.0,Q18390167,1968-11-11,1980-08-25
