,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
0,0,113190,Bobby,Riggs,U,,USA,,,,
1,1,200000,X,X,U,19000000.0,UNK,,,,
2,2,200001,Martina,Hingis,R,19800930.0,SUI,170.0,Q134720,1993-10-18,1996-03-04
3,3,200002,Mirjana,Lucic,R,19820309.0,CRO,181.0,Q239686,1996-12-09,2017-01-09
4,4,200003,Justine,Henin,R,19820601.0,BEL,167.0,Q11682,1996-11-18,2000-01-09
5,5,200004,Kerry Anne,Guse,R,19721204.0,AUS,159.0,Q516757,1992-01-13,2001-01-15
6,6,200005,Jolene,Watanabe,R,19680831.0,USA,,Q1702635,1990-07-09,2001-06-11
7,7,200006,Karina,Habsudova,R,19730802.0,SVK,170.0,Q269278,1989-10-02,2001-07-30
8,8,200007,Silvija,Talaja,R,19780114.0,CRO,173.0,Q271692,1995-02-20,2005-01-03
9,9,200008,Alicia,Molik,R,19810127.0,AUS,182.0,Q232922,1997-11-11,2010-02-15
10,10,200009,Tamarine,Tanasugarn,R,19770524.0,THA,165.0,Q144555,1994-06-27,2015-03-23
11,11,200010,Rita,Grande,R,19750323.0,ITA,177.0,Q264551,1990-07-16,2004-05-17
12,12,200011,Katarina,Srebotnik,R,19810312.0,SLO,180.0,Q229116,1996-11-11,2008-02-25
13,13,200012,Jana,Nejedly,R,19740609.0,CAN,175.0,Q2908430,1991-05-13,2003-02-03
14,14,200013,Angelica,Gavaldon,R,19731003.0,MEX,,Q2283377,1989-03-06,2000-01-07
15,15,200014,Tzipi,Obziler,R,19730419.0,ISR,172.0,Q867533,1989-05-15,2009-01-19
16,16,200015,Petra,Mandula,R,19780117.0,HUN,178.0,Q258965,1993-08-09,2005-02-14
17,17,200016,Sandrine,Testud,R,19720403.0,FRA,176.0,Q259026,1989-03-27,2004-02-02
18,18,200017,Arantxa,Sanchez Vicario,R,19711218.0,ESP,168.0,Q188080,1985-05-06,1987-02-16
19,19,200018,Julia,Abe,R,19760521.0,GER,,Q1503174,1991-07-29,2000-02-14
20,20,200019,Alexandra,Fusai,R,19731122.0,FRA,176.0,Q468226,1989-12-04,2002-10-14
21,21,200020,Lisa,Raymond,R,19730810.0,USA,165.0,Q10129,1989-08-28,2006-10-02
22,22,200021,Alexia,Dechaume Balleret,R,19700503.0,FRA,,Q748769,1985-10-21,1999-03-05
23,23,200022,Emmanuelle,Gagliardi,R,19760709.0,SUI,171.0,Q254686,1992-02-10,2008-07-07
24,24,200023,Bryanne,Stewart,R,19791209.0,AUS,174.0,Q456729,1996-11-18,2006-02-20
25,25,200024,Maria,Vento Kabchi,R,19740524.0,VEN,168.0,Q254260,1988-07-11,2006-09-25
26,26,200025,Ludmila,Cervanova,R,19791015.0,SVK,171.0,Q591648,1995-05-08,2009-07-20
27,27,200026,Florencia,Labat,L,19710612.0,ARG,170.0,Q455165,1988-10-10,2000-01-03
28,28,200027,Magui,Serna,L,19790301.0,ESP,167.0,Q271740,1994-01-17,2006-03-06
29,29,200028,Maureen,Drake,R,19710321.0,CAN,175.0,Q2777538,1987-01-05,2016-06-06
30,30,200029,Lisa,Mcshea,R,19741029.0,AUS,174.0,Q3242430,1991-08-05,2003-02-24
31,31,200030,Miroslava,Vavrinec,R,19780401.0,SUI,173.0,Q233306,1993-06-07,2001-06-18
32,32,200031,Meilen,Tu,R,19780117.0,USA,163.0,Q265572,1994-02-21,2007-01-01
33,33,200032,Barbara,Schett,R,19760310.0,AUT,176.0,Q259647,1991-10-21,2004-01-05
34,34,200033,Serena,Williams,R,19810926.0,USA,175.0,Q11459,1997-08-04,1998-01-11
35,35,200034,Amanda,Grahame,L,19790325.0,AUS,,Q33027005,1997-11-11,2003-01-13
36,36,200035,Maria,Sanchez Lorenzo,R,19771107.0,ESP,171.0,Q522197,1992-06-08,2006-05-15
37,37,200036,Nicole,Pratt,R,19730305.0,AUS,163.0,Q271711,1990-06-25,2007-01-29
38,38,200037,Sabine,Appelmans,L,19720422.0,BEL,168.0,Q239791,1988-02-01,1999-10-04
39,39,200038,Annabel,Ellwood,R,19780202.0,AUS,165.0,Q2382889,1994-04-04,2001-10-08
40,40,200039,Chanda,Rubin,R,19760218.0,USA,168.0,Q237894,1990-06-18,2002-05-06
41,41,200040,Anna,Smashnova,R,19760716.0,ISR,157.0,Q233521,1990-11-05,2006-06-05
42,42,200041,Amy,Frazier,R,19720919.0,USA,175.0,Q254340,1986-09-22,2006-07-31
43,43,200042,Els,Callens,R,19700820.0,BEL,178.0,Q260112,1987-08-10,2005-01-10
44,44,200043,Virginie,Razzano,R,19830512.0,FRA,173.0,Q220425,1999-04-12,2017-01-16
45,45,200044,Denisa,Chladkova,R,19790208.0,CZE,174.0,Q271728,1995-03-20,2006-01-09
46,46,200045,Tara,Snyder,R,19770526.0,USA,175.0,Q301072,1994-07-25,2006-08-07
47,47,200046,Meghann,Shaughnessy,R,19790413.0,USA,180.0,Q54652,1994-03-21,2008-11-03
48,48,200047,Pavlina,Nola,R,19740714.0,NZL,,Q629984,1994-08-15,2002-01-14
49,49,200048,Elena,Likhovtseva,R,19750908.0,RUS,174.0,Q233231,1990-10-01,2007-06-18
50,50,200049,Conchita,Martinez,R,19720416.0,ESP,170.0,Q232618,1986-09-15,1988-05-23
51,51,200050,Sandra,Kleinova,R,19780508.0,CZE,177.0,Q3471919,1993-10-04,2007-06-04
52,52,200051,Irina,Spirlea,R,19740326.0,ROU,175.0,Q265927,1990-02-26,1993-09-28
53,53,200052,Olga,Barabanschikova,R,19791102.0,BLR,172.0,Q452832,1994-08-29,2004-03-22
54,54,200053,Lubomira,Bacheva,R,19750307.0,BUL,,Q3242109,1989-07-31,2004-04-05
55,55,200054,Sylvia,Plischke,R,19770720.0,AUT,177.0,Q432729,1992-08-24,2002-04-15
56,56,200055,Mariana,Diaz Oliva,R,19760311.0,ARG,172.0,Q2307635,1991-10-07,2006-10-09
57,57,200056,Jelena,Kostanic Tosic,L,19810706.0,CRO,168.0,Q233556,1997-07-28,2010-08-23
58,58,200057,Erika,De Lone,R,19721014.0,USA,,Q940235,1987-10-25,2003-07-07
59,59,200058,Anna,Foldenyi Dicker,R,19740822.0,HUN,165.0,Q4767019,1988-10-31,2004-05-17
60,60,200059,Ruxandra,Dragomir Ilie,R,19721024.0,ROU,168.0,Q273507,1990-08-13,2005-02-21
61,61,200060,Tathiana,Garbin,R,19770630.0,ITA,172.0,Q230235,1994-05-30,2010-08-16
62,62,200061,Gala,Leon Garcia,L,19731223.0,ESP,163.0,Q455239,1991-04-29,2004-05-03
